		80
		
Full title	Authors	Year of
		publication
		
		
		
Semiparametric model for prediction of individual claim loss reserving	Zhao, Zhou, Wang	2009
Applying copula models to individual claim loss reserving methods	Zhao, Zhou	2010
Individual loss reserving with the multivariate skew normal framework	Pigeon, Antoni, Denuit	2013
Statistical case estimation	Taylor, Campbell	2002
Modelling mortgage insurance as a multi-state process	Taylor, Mulquiney	2007
Individual claim reserving conditioned by case estimates	Taylor, McGuire, Sullivan	2008
Bootstrapping individual claim histories	Rosenlund	2012
Continuous Chain Ladder: Reformulating and generalizing a classical insurance problem	Martinez-Miranda, Nielsen, Sperlich, Verrall	2013
An individual claims reserving model	Larsen	2007
Predicting IBNYR events and delays I: continuous time	Jewell	1989
A Markov model for loss reserving	Hesselager	1994
Claims reserving in continuous time; a nonparametricBayesian approach	Haastrup, Arjas	1996
A structural model for the analysis of loss reserves	Hachemeister	1978
A stochastic model for loss reserving	Hachemeister	1980
Stochastic projection for large individual losses	Drieskens, Henry, Walhin, Wielandts	2012
Non parametric individual claim reserving in insurance	Baudry, Roberts	2017
Non parametric individual claim reserving in insurance	Baudry, Roberts	2017
The claims reserving problem in non-life insurance: some_structural ideas	Arjas	1989
Loss Reserving Models: Granular and Machine Learning Forms	Taylor 	2019
"Claim Watching and Individual Claims Reserving Using Classification and Regression Trees
"	De Felice, Moriconi	2019
Individual Loss Reserving Using a Gradient Boosting-Based Approach	Francis Duval, Mathieu Pigeon	2019
Machine learning in individual claims reserving	Wuethrich	2018
"Macro vs. Micro Methods in Non-Life Claims Reserving (an Econometric Perspective)
"	Charpentier, Pigeon	2017
Cash flow generalisations of non-lifei nsurance expert systems estimating outstanding claims	Hiabu,Margraf,Martínez-Miranda,Nielsen	2016
Prediction of outstanding claims in non-life insurance	Norberg	1993
Prediction of outstanding liabilities II: model variations and extensions	Norberg	1999
Individual claim reserving conditioned by case estimates	Taylor, McGuire, Sullivan	2008
Micro-level stochastic loss reserving for general insurance	Antonio, Plat	2014
Stochastic Loss Reserving in Discrete Time: Individual vs. Aggregate Data Models	Huang, Qiu, Wu	2015
"Predictive analytics of insurance claims
using multivariate decision trees"	"Zhiyu Quan
Emiliano Valdez"	2018
An Individual Loss Reserving Model with Independent Reporting and Settlement	Huang, Qiu, Wu, Zhou	2015
Asymptotic behaviors of stochastic reserving: Aggregate versus individual claims	Huang, Wu, Zhou	2016
On the relationship between classical chain ladder and granular reserving	Hiabu	2016
"Claim Risk Scoring using Survival Analysis
 Framework and Machine Learning with Random Forest"	Yuriy, Jina, Terrance	2019
"Allstate Insurance Claims
 Severity: A Machine Learning Approach"	Rajeeva, Jeff, Hongyi	2018
"Granular Reserving 
Dialogistic in Machine Learning"	Asif John	2018
Predicting High Cost Insurance Members through Boosted Trees and Oversampling: An application using the HCCI database 	Brain Hartman, Rebecca Owen, Zoe Gibbs	2019
ENSEMBLE MODELING & PREDICTION INTERPRETABILITY FOR INSURANCE FRAUD CLAIMS CLASSIFICATION		2019
Claims Reserving using Gradient Boosting and Generalized Linear Models	Marcus Ahlgren	2018
Non life pricing: empirical comparison of classical GLM with tree based Gradient Boosted Models	Leonardo Petrini	2017
LightGBM: A Highly Efﬁcient Gradient Boosting Decision Tree	Guolin Ke1, Qi Meng2, Thomas Finley3, Taifeng Wang1, Wei Chen1, Weidong Ma1, Qiwei Ye1, Tie-Yan Liu1	2017
