source,arxiv_id,arxiv_title,arxiv_authors,published,dw_score,is_relevant_ge7,arxiv_url,lit_title,lit_authors,lit_year,note
arxiv_only,2604.05143v1,Existence of a classical solution to the integro-differential equation arising in the Cramér--Lundberg non-life insurance model with proportional investment,Platon Promyslov,2026-04-06,,,http://arxiv.org/abs/2604.05143v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2604.02400v1,Varying risk exposure in auto insurance: a weighted tweedie framework for experience rating an cancellation penalties,Jean-Philippe Boucher; Raïssa Coulibaly; Julien Trufin,2026-04-02,,,http://arxiv.org/abs/2604.02400v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2603.20333v1,Bounded Coupled AI Learning Dynamics in Tri-Hierarchical Drone Swarms,Oleksii Bychkov,2026-03-20,,,http://arxiv.org/abs/2603.20333v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2603.14543v1,Gradient Boosting for Spatial Panel Models with Random and Fixed Effects,Michael Balzer; Adhen Benlahlou,2026-03-15,,,http://arxiv.org/abs/2603.14543v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2603.13803v1,ALTIS: Automated Loss Triage and Impact Scoring from Sentinel-1 SAR for Property-Level Flood Damage Assessment,Amogh Vinaykumar; Prem Kamasani,2026-03-14,,,http://arxiv.org/abs/2603.13803v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2603.13103v1,A Feasibility-Enhanced Control Barrier Function Method for Multi-UAV Collision Avoidance,Qishen Zhong; Junlong Wu; Jian Yang et al.,2026-03-13,,,http://arxiv.org/abs/2603.13103v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2603.11258v1,Continuous-time modeling and bootstrap for Schnieper's reserving,Nicolas Baradel,2026-03-11,8,Yes,http://arxiv.org/abs/2603.11258v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2603.01821v1,Asymptotics of Ruin Probabilities in a Subordinated Cramér-Lundberg Model,Jonathan Klinge; Maren Diane Schmeck,2026-03-02,,,http://arxiv.org/abs/2603.01821v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2602.20412v1,SimLBR: Learning to Detect Fake Images by Learning to Detect Real Images,Aayush Dhakal; Subash Khanal; Srikumar Sastry et al.,2026-02-23,,,http://arxiv.org/abs/2602.20412v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2602.20404v1,$κ$-Explorer: A Unified Framework for Active Model Estimation in MDPs,Xihe Gu; Urbashi Mitra; Tara Javidi,2026-02-23,,,http://arxiv.org/abs/2602.20404v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2602.15481v1,LLM-as-Judge on a Budget,Aadirupa Saha; Aniket Wagde; Branislav Kveton,2026-02-17,,,http://arxiv.org/abs/2602.15481v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2602.15385v2,From Chain-Ladder to Individual Claims Reserving,Ronald Richman; Mario V. Wüthrich,2026-02-17,9,Yes,http://arxiv.org/abs/2602.15385v2,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2602.06486v1,JADE: Expert-Grounded Dynamic Evaluation for Open-Ended Professional Tasks,Lanbo Lin; Jiayao Liu; Tianyuan Yang et al.,2026-02-06,,,http://arxiv.org/abs/2602.06486v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
arxiv_only,2602.05586v1,Observer-based Control of Multi-agent Systems under STL Specifications,Tommaso Zaccherini; Siyuan Liu; Dimos V. Dimarogonas,2026-02-05,,,http://arxiv.org/abs/2602.05586v1,,,,Retrieved by search — NOT in lit_review (high-confidence)
