source_file,batch_id,run_timestamp,line_number,paper_id,title,paper_url,published,lead_author,lead_author_surname,author_surnames,authors_full,relevance_score,is_relevant,summary,key_insight,present_in_lit_review
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,1,1806.06853v1,A Hybrid Fuzzy Regression Model for Optimal Loss Reserving in Insurance,http://arxiv.org/abs/1806.06853v1,2018-06-18T08:21:13+00:00,Woundjiagué Apollinaire,Apollinaire,Apollinaire; Doux; Ronald,Woundjiagué Apollinaire; Mbele Bidima Martin Le Doux; Waweru Mwangi Ronald,7,True,"The paper introduces a hybrid fuzzy regression model with asymmetric triangular fuzzy coefficients applied to loss reserving, showing improved predictive performance over classical GLMs on the Taylor and Ashe dataset.","Optimizing the h-value in a fuzzy GLM framework reduces reserve prediction error and standard deviation compared to traditional GLMs, offering a practical, interpretable enhancement for actuarial reserving.",False
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,2,1802.05437v2,Optimization of the light intensity for Photodetectors calibration,http://arxiv.org/abs/1802.05437v2,2018-02-15T08:53:36+00:00,N. Anfimov,Anfimov,Anfimov; Rybnikov; Sotnikov,N. Anfimov; A. Rybnikov; A. Sotnikov,0,False,"This paper focuses on optimizing light intensity for photodetector calibration in physics contexts, with no connection to actuarial claims reserving or insurance loss modeling.",The research is entirely unrelated to general insurance reserving and offers no practical value to the IFoA Working Party's objectives.,False
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,3,1911.12405v1,Modelling dependence within and across run-off triangles for claims reserving,http://arxiv.org/abs/1911.12405v1,2019-11-27T20:06:08+00:00,Luis E. Nieto-Barajas,Nieto-Barajas,Nieto-Barajas; Targino,Luis E. Nieto-Barajas; Rodrigo S. Targino,8,True,"This paper introduces a Bayesian hierarchical model that captures autoregressive dependence within and across run-off triangles, enabling improved reserve estimation by borrowing strength across lines of business.",Modeling autoregressive dependence via latent variables and hierarchical priors allows for more realistic and robust reserving by explicitly accounting for temporal and cross-triangle dependencies.,False
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,4,1806.04530v1,A Least Squares Estimation of a Hybrid log-Poisson Regression and its Goodness of Fit for Optimal Loss Reserves in Insurance,http://arxiv.org/abs/1806.04530v1,2018-06-10T19:24:18+00:00,Apollinaire Woundjiague,Woundjiague,Woundjiague; Bidima; Mwangi,Apollinaire Woundjiague; Martin Le Doux Mbele Bidima; Ronald Waweru Mwangi,7,True,"The paper introduces a hybrid log-Poisson regression model estimated via fuzzy least squares, evaluated for goodness of fit in loss reserving using real data, offering a methodological extension to classical actuarial models.",Fuzzy least-squares estimation applied to a hybrid log-Poisson model provides a statistically grounded alternative to traditional methods with potential for improved reserve accuracy and model diagnostics.,False
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,5,2301.01966v1,Ruin Probabilities for a Sparre Andersen Model with Investments: the Case of Annuity Payments,http://arxiv.org/abs/2301.01966v1,2023-01-05T09:04:12+00:00,Yuri Kabanov,Kabanov,Kabanov; Promyslov,Yuri Kabanov; Platon Promyslov,2,False,"The paper extends ruin probability analysis in a Sparre Andersen model with investments to annuity payments and two-sided jumps, using semi-Markov processes.",This theoretical extension of ruin probabilities under investment risk is not directly applicable to claims reserving or loss forecasting in general insurance.,False
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,6,1911.11484v2,Using Depth for Pixel-Wise Detection of Adversarial Attacks in Crowd Counting,http://arxiv.org/abs/1911.11484v2,2019-11-26T12:12:34+00:00,Weizhe Liu,Liu,Liu; Salzmann; Fua,Weizhe Liu; Mathieu Salzmann; Pascal Fua,0,False,"This paper focuses on detecting adversarial attacks in crowd counting using depth estimation, which is unrelated to actuarial claims reserving or loss prediction.","The method leverages multitask learning (crowd density and depth) to detect adversarial perturbations, but offers no practical value for insurance reserving.",False
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,7,1911.06187v1,Concordance probability in a big data setting: application in non-life insurance,http://arxiv.org/abs/1911.06187v1,2019-11-14T15:42:36+00:00,Robin Van Oirbeek,Oirbeek,Oirbeek; Grumiau; Verdonck,Robin Van Oirbeek; Christopher Grumiau; Tim Verdonck,4,False,"The paper adapts the concordance probability (C-index) for frequency-severity models in non-life insurance pricing, focusing on large datasets, but does not address claims reserving or reserve uncertainty.","While methodologically sound for pricing applications, the paper lacks direct relevance to actuarial reserving practice or probabilistic reserve estimation.",False
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,8,1711.07753v1,Price Optimisation for New Business,http://arxiv.org/abs/1711.07753v1,2017-11-21T12:39:03+00:00,Maissa Tamraz,Tamraz,Tamraz; Yang,Maissa Tamraz; Yaming Yang,1,False,"This paper focuses on price optimization for new business in motor insurance, modeling customer acceptance under competitive market conditions, with no connection to claims reserving or loss development.","The paper addresses pricing strategy for acquiring new customers, which is unrelated to the actuarial reserving tasks of estimating IBNR, RBNS, or claim development patterns.",False
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,9,1701.00900v1,Robust Localization Using Range Measurements with Unknown and Bounded Errors,http://arxiv.org/abs/1701.00900v1,2017-01-04T05:27:13+00:00,Xiufang Shi,Shi,Shi; Mao; Anderson; Yang; Chen,Xiufang Shi; Guoqiang Mao; Brian. D. O. Anderson; Zaiyue Yang; Jiming Chen,0,False,"This paper addresses robust geolocation using range measurements with bounded but unknown errors, focusing on optimization and distributed algorithms for sensor networks.","The work provides a convex relaxation approach for localization under bounded measurement errors, but has no practical relevance to actuarial claims reserving or loss modelling.",False
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,10,2012.06756v1,Gap Reduced Minimum Error Robust Simultaneous Estimation For Unstable Nano Air Vehicle,http://arxiv.org/abs/2012.06756v1,2020-12-12T08:43:06+00:00,Jinraj V Pushpangathan,Pushpangathan,Pushpangathan; Kandath; Sundaram; Sundararajan,Jinraj V Pushpangathan; Harikumar Kandath; Suresh Sundaram; Narasimhan Sundararajan,0,False,"This paper focuses on robust state estimation for unstable nano aerial vehicles using control theory and genetic algorithms, with no connection to actuarial reserving or insurance claims modeling.",The GRMERS estimator improves flight stability for nano UAVs under uncertainty but offers no practical value or transferability to claims reserving or actuarial science.,False
