run_timestamp,paper_id,title,paper_url,published,lead_author,lead_author_surname,author_surnames,authors_full,relevance_score,is_relevant,summary,key_insight
20260810_171603,2606.20003v1,Optimal Shadow Estimation with Minimal Measurement Settings,http://arxiv.org/abs/2606.20003v1,2026-06-18T09:40:17+00:00,Zhiyao Yang,Yang,"Yang, Chen, Zhu","Zhiyao Yang, Datong Chen, Huangjun Zhu",0,False,"This paper addresses theoretical quantum information problems related to shadow estimation and measurement complexity, with no connection to actuarial reserving, claims development, or machine learning applications in insurance.","The paper establishes fundamental complexity bounds for quantum shadow estimation, showing that average-case optimality requires far fewer measurement bases than worst-case optimality, with implications for near-term quantum experiments."
20260810_171603,2607.21162v1,"Agree on the Model, Verify the Inference: GKR Protocols for HND-Based Transformer Inference",http://arxiv.org/abs/2607.21162v1,2026-07-23T10:52:53+00:00,Xiaolong Liang,Liang,"Liang, Li, Qin, Lv","Xiaolong Liang, Juanjuan Li, Rui Qin, Yisheng Lv",1,False,"This paper focuses on secure and verifiable outsourcing of Transformer inference using cryptographic protocols, with no connection to insurance reserving, claim modeling, or actuarial practice.","The paper introduces a cryptographic protocol to verify outsourced Transformer inference, ensuring model integrity without full recomputation, but it has no direct application to actuarial reserving or claims development modeling."
20260810_171603,2605.30499v1,Exact asymptotics of the ruin probability in the Sparre Andersen model,http://arxiv.org/abs/2605.30499v1,2026-05-28T19:30:56+00:00,Platon Promyslov,Promyslov,Promyslov,Platon Promyslov,2,False,"This theoretical paper derives precise asymptotic formulas for ruin probability in a non-life insurance risk model with stochastic investment returns, focusing on mathematical rigor rather than practical reserving applications.","The paper establishes exact asymptotic behavior for ruin probability in a Sparre Andersen model with Lévy process investments, resolving an open theoretical question but offering no direct application to claims reserving practice."
20260810_171603,2604.17417v1,Project resilience as network robustness,http://arxiv.org/abs/2604.17417v1,2026-04-19T12:55:13+00:00,Sebastiano A. Piccolo,Piccolo,"Piccolo, Terracina","Sebastiano A. Piccolo, Giorgio Terracina",1,False,"This paper focuses on measuring engineering project resilience to personnel loss using network robustness analysis. It has no direct or practical relevance to actuarial claims reserving, IBNR/RBNS estimation, or machine learning applications in loss reserving.","The paper introduces a network robustness framework to assess project resilience against key personnel loss, offering more accurate risk estimates than existing methods."
20260810_171603,2607.09899v1,A Distributionally Robust Multi-agent Reinforcement Learning Framework for Intelligent Intersection Control,http://arxiv.org/abs/2607.09899v1,2026-07-10T18:44:36+00:00,Shuwei Pei,Pei,"Pei, Borger, Kosay, Jayawardhana, Sayin, Ahmed","Shuwei Pei, Joran Borger, Arda Kosay, Bayu Jayawardhana, Muhammed O. Sayin, Saeed Ahmed",1,False,"This paper proposes a robust reinforcement learning method for traffic intersection control, enhancing resilience to demand shifts and congestion. It has no practical relevance to claims reserving, loss modelling, or actuarial applications.","The paper introduces a distributionally robust multi-agent reinforcement learning framework that improves traffic signal control under adversarial demand conditions, with no direct application to actuarial reserving."
20260810_171603,2604.15160v1,Radiation doses during extreme solar energetic particle events,http://arxiv.org/abs/2604.15160v1,2026-04-16T15:39:22+00:00,S. Dalla,Dalla,"Dalla, Herbst, Muscheler, Owens","S. Dalla, K. Herbst, R. Muscheler, M. J. Owens",0,False,"This paper analyzes radiation exposure risks from solar energetic particles during extreme space weather events, focusing on impacts for aviation and astronauts. It has no relevance to general insurance claims reserving, machine learning in reserving, or actuarial practice.","The paper estimates radiation doses from extreme solar particle events for aviation and spaceflight safety, with no connection to actuarial reserving or insurance claims modeling."
20260810_171603,2604.27732v1,A Note on the Generalized Cape Cod Reserving Method,http://arxiv.org/abs/2604.27732v1,2026-04-30T11:23:31+00:00,Ronald Richman,Richman,"Richman, Wüthrich","Ronald Richman, Mario V. Wüthrich",8,True,"This paper extends the generalized Cape Cod reserving method — traditionally deterministic — by providing a stochastic framework with an analytical MSEP formula, making it more useful for actuarial practice that requires reserve uncertainty measures.","The paper fills a theoretical gap by deriving an analytical formula for the mean squared error of prediction (MSEP) of the generalized Cape Cod reserving method, enabling uncertainty quantification for this deterministic technique."
20260810_171603,2606.05449v1,Insurance of Agentic AI,http://arxiv.org/abs/2606.05449v1,2026-06-03T21:10:38+00:00,Quanyan Zhu,Zhu,Zhu,Quanyan Zhu,1,False,"This paper examines the insurance implications of agentic AI systems, focusing on underwriting, pricing, and product design for novel AI-driven risks. It is not relevant to actuarial reserving methods or claim development modeling.","The paper explores the emerging insurance market for agentic AI systems, proposing a multi-layered coverage framework to address novel risks like autonomous decision errors and model drift, but does not address claims reserving or loss prediction."
20260810_171603,2606.09632v1,Civil Court Simulation with Large Language Models,http://arxiv.org/abs/2606.09632v1,2026-06-08T15:30:49+00:00,Yifan Chen,Chen,"Chen, Li, Zhang, Wu, Ai, Liu","Yifan Chen, Haitao Li, Kaiyuan Zhang, Yueyue Wu, Qingyao Ai, Yiqun Liu",1,False,"This paper introduces a large language model-based simulation system for civil court proceedings in China, focusing on procedural fidelity and judgment reliability. It offers no connection to insurance reserving, claim development, or probabilistic reserve estimation.","The paper presents a multi-agent LLM framework for simulating Chinese civil court trials, with emphasis on liability allocation and adjudication reliability, but it has no direct or transferable application to actuarial claims reserving."
20260810_171603,2605.22892v2,Is TabPFN the Silver Bullet for Insurance Pricing?,http://arxiv.org/abs/2605.22892v2,2026-05-21T13:59:06+00:00,Bruno Deprez,Deprez,"Deprez, Verbeke, Verdonck","Bruno Deprez, Wouter Verbeke, Tim Verdonck",3,False,"This paper evaluates TabPFN, a tabular foundation model, for motor insurance pricing against GLM and XGBoost, finding it underperforms in accuracy and speed. It offers limited relevance to reserving as it focuses on pricing and lacks transferability to claim development or reserve uncertainty.","TabPFN, while innovative, does not currently outperform GLM or XGBoost for motor insurance pricing and is not yet viable for actuarial practice."
